full_name,vote,id,name,party,state,district,member_id
Schakowsky,Yea,S001145,"Schakowsky, Janice  D.",Democrat,IL,9th,S001145
Schmidt,Yea,S001228,"Schmidt, Derek",Republican,KS,2nd,S001228
Schneider,Yea,S001190,"Schneider, Bradley  Scott",Democrat,IL,10th,S001190
Scholten,Yea,S001221,"Scholten, Hillary  J.",Democrat,MI,3rd,S001221
Schrier,Yea,S001216,"Schrier, Kim",Democrat,WA,8th,S001216
Schweikert,Yea,S001183,"Schweikert, David",Republican,AZ,1st,S001183
Scott (VA),Yea,S000185,"Scott, Robert  C. ""Bobby""",Democrat,VA,3rd,S000185
"Scott, Austin",Yea,S001189,"Scott, Austin",Republican,GA,8th,S001189
"Scott, David",Yea,S001157,"Scott, David",Democrat,GA,13th,S001157
Self,Yea,S001224,"Self, Keith",Republican,TX,3rd,S001224
Sessions,Yea,S000250,"Sessions, Pete",Republican,TX,17th,S000250
Sewell,Yea,S001185,"Sewell, Terri  A.",Democrat,AL,7th,S001185
Sherman,Not Voting,S000344,"Sherman, Brad",Democrat,CA,32nd,S000344
Sherrill,Yea,S001207,"Sherrill, Mikie",Democrat,NJ,11th,S001207
Shreve,Yea,S001229,"Shreve, Jefferson",Republican,IN,6th,S001229
Simon,Yea,S001231,"Simon, Lateefah",Democrat,CA,12th,S001231
Simpson,Yea,S001148,"Simpson, Michael  K.",Republican,ID,2nd,S001148
Smith (MO),Yea,S001195,"Smith, Jason",Republican,MO,8th,S001195
Smith (NE),Yea,S001172,"Smith, Adrian",Republican,NE,3rd,S001172
Smith (NJ),Yea,S000522,"Smith, Christopher  H.",Republican,NJ,4th,S000522
Smith (WA),Yea,S000510,"Smith, Adam",Democrat,WA,9th,S000510
Smucker,Yea,S001199,"Smucker, Lloyd",Republican,PA,11th,S001199
Sorensen,Yea,S001225,"Sorensen, Eric",Democrat,IL,17th,S001225
Soto,Yea,S001200,"Soto, Darren",Democrat,FL,9th,S001200
Spartz,Yea,S000929,"Spartz, Victoria",Republican,IN,5th,S000929
Stansbury,Yea,S001218,"Stansbury, Melanie  A.",Democrat,NM,1st,S001218
Stanton,Yea,S001211,"Stanton, Greg",Democrat,AZ,4th,S001211
Stauber,Yea,S001212,"Stauber, Pete",Republican,MN,8th,S001212
Stefanik,Yea,S001196,"Stefanik, Elise  M.",Republican,NY,21st,S001196
Steil,Yea,S001213,"Steil, Bryan",Republican,WI,1st,S001213
Steube,Yea,S001214,"Steube, W.  Gregory",Republican,FL,17th,S001214
Stevens,Yea,S001215,"Stevens, Haley  M.",Democrat,MI,11th,S001215
Strickland,Yea,S001159,"Strickland, Marilyn",Democrat,WA,10th,S001159
Strong,Yea,S001220,"Strong, Dale  W.",Republican,AL,5th,S001220
Stutzman,Yea,S001188,"Stutzman, Marlin  A.",Republican,IN,3rd,S001188
Subramanyam,Yea,S001230,"Subramanyam, Suhas",Democrat,VA,10th,S001230
Suozzi,Yea,S001201,"Suozzi, Thomas  R.",Democrat,NY,3rd,S001201
Swalwell,Yea,S001193,"Swalwell, Eric",Democrat,CA,14th,S001193
Sykes,Yea,S001223,"Sykes, Emilia  Strong",Democrat,OH,13th,S001223
Takano,Yea,T000472,"Takano, Mark",Democrat,CA,39th,T000472
Taylor,Yea,T000490,"Taylor, David  J.",Republican,OH,2nd,T000490
Tenney,Yea,T000478,"Tenney, Claudia",Republican,NY,24th,T000478
Thanedar,Yea,T000488,"Thanedar, Shri",Democrat,MI,13th,T000488
Thompson (CA),Yea,T000460,"Thompson, Mike",Democrat,CA,4th,T000460
Thompson (MS),Yea,T000193,"Thompson, Bennie  G.",Democrat,MS,2nd,T000193
Thompson (PA),Yea,T000467,"Thompson, Glenn",Republican,PA,15th,T000467
Tiffany,Yea,T000165,"Tiffany, Thomas  P.",Republican,WI,7th,T000165
Timmons,Yea,T000480,"Timmons, William  R.
 IV",Republican,SC,4th,T000480
Titus,Yea,T000468,"Titus, Dina",Democrat,NV,1st,T000468
Tlaib,Yea,T000481,"Tlaib, Rashida",Democrat,MI,12th,T000481
Tokuda,Yea,T000487,"Tokuda, Jill  N.",Democrat,HI,2nd,T000487
Tonko,Yea,T000469,"Tonko, Paul",Democrat,NY,20th,T000469
Torres (CA),Yea,T000474,"Torres, Norma  J.",Democrat,CA,35th,T000474
Torres (NY),Yea,T000486,"Torres, Ritchie",Democrat,NY,15th,T000486
Trahan,Yea,T000482,"Trahan, Lori",Democrat,MA,3rd,T000482
Tran,Yea,T000491,"Tran, Derek",Democrat,CA,45th,T000491
Turner (OH),Not Voting,T000463,"Turner, Michael  R.",Republican,OH,10th,T000463
Turner (TX),Yea,T000489,"Turner, Sylvester",Democrat,TX,18th,T000489
Underwood,Yea,U000040,"Underwood, Lauren",Democrat,IL,14th,U000040
Valadao,Yea,V000129,"Valadao, David  G.",Republican,CA,22nd,V000129
Van Drew,Yea,V000133,"Van Drew, Jefferson",Republican,NJ,2nd,V000133
Van Duyne,Yea,V000134,"Van Duyne, Beth",Republican,TX,24th,V000134
Van Orden,Yea,V000135,"Van Orden, Derrick",Republican,WI,3rd,V000135
Vargas,Yea,V000130,"Vargas, Juan",Democrat,CA,52nd,V000130
Vasquez,Yea,V000136,"Vasquez, Gabe",Democrat,NM,2nd,V000136
Veasey,Yea,V000131,"Veasey, Marc  A.",Democrat,TX,33rd,V000131
Velázquez,Yea,V000081,"Velázquez, Nydia  M.",Democrat,NY,7th,V000081
Vindman,Yea,V000138,"Vindman, Eugene  Simon",Democrat,VA,7th,V000138
Wagner,Yea,W000812,"Wagner, Ann",Republican,MO,2nd,W000812
Walberg,Yea,W000798,"Walberg, Tim",Republican,MI,5th,W000798
Waltz,Not Voting,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000823,,,,,
Wasserman Schultz,Yea,W000797,"Wasserman Schultz, Debbie",Democrat,FL,25th,W000797
Waters,Yea,W000187,"Waters, Maxine",Democrat,CA,43rd,W000187
Watson Coleman,Yea,W000822,"Watson Coleman, Bonnie",Democrat,NJ,12th,W000822
Weber (TX),Yea,W000814,"Weber, Randy  K.
 Sr.",Republican,TX,14th,W000814
Webster (FL),Yea,W000806,"Webster, Daniel",Republican,FL,11th,W000806
Westerman,Yea,W000821,"Westerman, Bruce",Republican,AR,4th,W000821
Whitesides,Yea,W000830,"Whitesides, George",Democrat,CA,27th,W000830
Wied,Yea,W000829,"Wied, Tony",Republican,WI,8th,W000829
Williams (GA),Yea,W000788,"Williams, Nikema",Democrat,GA,5th,W000788
Williams (TX),Yea,W000816,"Williams, Roger",Republican,TX,25th,W000816
Wilson (FL),Yea,W000808,"Wilson, Frederica  S.",Democrat,FL,24th,W000808
Wilson (SC),Yea,W000795,"Wilson, Joe",Republican,SC,2nd,W000795
Wittman,Yea,W000804,"Wittman, Robert  J.",Republican,VA,1st,W000804
Womack,Yea,W000809,"Womack, Steve",Republican,AR,3rd,W000809
Yakym,Yea,Y000067,"Yakym, Rudy  
 III",Republican,IN,2nd,Y000067
Zinke,Yea,Z000018,"Zinke, Ryan  K.",Republican,MT,1st,Z000018
